Ticker,Exchange,Full ticker
HMS,NASDAQ STOCKHOLM AB,HMS
TFF,EURONEXT - EURONEXT PARIS,TFF
MVV1,XETRA,MVV1.DE
TITC,EURONEXT - EURONEXT BRUSSELS,TITC
O2D,XETRA,O2D.DE
PKTM,SIX SWISS EXCHANGE,PKTM
ANOD B,NASDAQ STOCKHOLM AB,ANOD B
BPE,ELECTRONIC SHARE MARKET,BPE
GCO,BOLSA DE MADRID,GCO
VIT B,NASDAQ STOCKHOLM AB,VIT B
MNG,LONDON STOCK EXCHANGE,MNG
AEVS,SIX SWISS EXCHANGE,AEVS
DSV,NASDAQ COPENHAGEN A/S,DSV
HEXA B,NASDAQ STOCKHOLM AB,HEXA B
OCI,EURONEXT - EURONEXT AMSTERDAM,OCI
OVH,EURONEXT - EURONEXT PARIS,OVH
BANB,SIX SWISS EXCHANGE,BANB
NETW,LONDON STOCK EXCHANGE,NETW
BRAV,NASDAQ STOCKHOLM AB,BRAV
MGROS.E,BORSA ISTANBUL - EQUITY MARKET,MGROS.E
TRIG,LONDON STOCK EXCHANGE,TRIG
ARYN,SIX SWISS EXCHANGE,ARYN
NOLA B,NASDAQ STOCKHOLM AB,NOLA B
SSE,LONDON STOCK EXCHANGE,SSE
RAND,EURONEXT - EURONEXT AMSTERDAM,RAND
SPSN,SIX SWISS EXCHANGE,SPSN
ECMPA,EURONEXT - EURONEXT AMSTERDAM,ECMPA
SSAB A,NASDAQ STOCKHOLM AB,SSAB A
JUST,LONDON STOCK EXCHANGE,JUST
BBOX,LONDON STOCK EXCHANGE,BBOX
YACHT,ELECTRONIC SHARE MARKET,YACHT
TOASO.E,BORSA ISTANBUL - EQUITY MARKET,TOASO.E
GARAN.E,BORSA ISTANBUL - EQUITY MARKET,GARAN.E
BIOT,NASDAQ STOCKHOLM AB,BIOT
NXU,XETRA,NXU.DE
FABG,NASDAQ STOCKHOLM AB,FABG
PST,ELECTRONIC SHARE MARKET,PST
LTMC,ELECTRONIC SHARE MARKET,LTMC
BPSO,ELECTRONIC SHARE MARKET,BPSO
VESTL.E,BORSA ISTANBUL - EQUITY MARKET,VESTL.E
RICHTER,BUDAPEST STOCK EXCHANGE,RICHTER
LOOMIS,NASDAQ STOCKHOLM AB,LOOMIS
P911,XETRA,P911.DE
TXGN,SIX SWISS EXCHANGE,TXGN
TOD,ELECTRONIC SHARE MARKET,TOD
EZJ,LONDON STOCK EXCHANGE,EZJ
MOBN,SIX SWISS EXCHANGE,MOBN
DHG,IRISH STOCK EXCHANGE - ALL MARKET,DHG
JDW,LONDON STOCK EXCHANGE,JDW
