Ticker,Exchange,Full ticker
AV.,LONDON STOCK EXCHANGE,AV.
ITV,LONDON STOCK EXCHANGE,ITV
EXPN,LONDON STOCK EXCHANGE,EXPN
GRG,LONDON STOCK EXCHANGE,GRG
PFV,XETRA,PFV.DE
LGEN,LONDON STOCK EXCHANGE,LGEN
MKS,LONDON STOCK EXCHANGE,MKS
RAT,LONDON STOCK EXCHANGE,RAT
ETL,EURONEXT - EURONEXT PARIS,ETL
GVOLT,OPERADOR DE MERCADO IBERICO DE ENERGIA - PORTUGAL,GVOLT
RR.,LONDON STOCK EXCHANGE,RR.
ROR,LONDON STOCK EXCHANGE,ROR
MGNS,LONDON STOCK EXCHANGE,MGNS
IPN,EURONEXT - EURONEXT PARIS,IPN
SMWH,LONDON STOCK EXCHANGE,SMWH
TATE,LONDON STOCK EXCHANGE,TATE
LLOY,LONDON STOCK EXCHANGE,LLOY
COTN,SIX SWISS EXCHANGE,COTN
STG,NASDAQ COPENHAGEN A/S,STG
KCAER.E,BORSA ISTANBUL - EQUITY MARKET,KCAER.E
ALSN,SIX SWISS EXCHANGE,ALSN
GRKP,SIX SWISS EXCHANGE,GRKP
SUN,SIX SWISS EXCHANGE,SUN
PEO,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,PEO
JD.,LONDON STOCK EXCHANGE,JD.
EXO,EURONEXT - EURONEXT AMSTERDAM,EXO
IWG,LONDON STOCK EXCHANGE,IWG
BUFAB,NASDAQ STOCKHOLM AB,BUFAB
BAMI,ELECTRONIC SHARE MARKET,BAMI
IP,ELECTRONIC SHARE MARKET,IP
BFT,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,BFT
AMAG,WIENER BOERSE AG AMTLICHER HANDEL (OFFICIAL MARKET),AMAG
KRKG,LJUBLJANA STOCK EXCHANGE (OFFICIAL MARKET),KRKG
ORNBV,NASDAQ HELSINKI LTD,ORNBV
AUSS,OSLO BORS ASA,AUSS
GEBN,SIX SWISS EXCHANGE,GEBN
DFDS,NASDAQ COPENHAGEN A/S,DFDS
SUPR,LONDON STOCK EXCHANGE,SUPR
CARL B,NASDAQ COPENHAGEN A/S,CARL B
JYSK,NASDAQ COPENHAGEN A/S,JYSK
RILBA,NASDAQ COPENHAGEN A/S,RILBA
CORE A,NASDAQ STOCKHOLM AB,CORE A
BIRG,IRISH STOCK EXCHANGE - ALL MARKET,BIRG
LAND,SIX SWISS EXCHANGE,LAND
CE2,XETRA,CE2.DE
HTO,ATHENS EXCHANGE S.A. CASH MARKET,HTO
VEI,OSLO BORS ASA,VEI
DNLM,LONDON STOCK EXCHANGE,DNLM
WBD,ELECTRONIC SHARE MARKET,WBD
DAN,ELECTRONIC SHARE MARKET,DAN
INVE B,NASDAQ STOCKHOLM AB,INVE B
SAAB B,NASDAQ STOCKHOLM AB,SAAB B
VOLV B,NASDAQ STOCKHOLM AB,VOLV B
UPONOR,NASDAQ HELSINKI LTD,UPONOR
STERV,NASDAQ HELSINKI LTD,STERV
HFG,XETRA,HFG.DE
SELEC.E,BORSA ISTANBUL - EQUITY MARKET,SELEC.E
ARJO B,NASDAQ STOCKHOLM AB,ARJO B
ERG,ELECTRONIC SHARE MARKET,ERG
TGS,OSLO BORS ASA,TGS
SCHP,EURONEXT - EURONEXT PARIS,SCHP
BCHN,SIX SWISS EXCHANGE,BCHN
BNR,XETRA,BNR.DE
VZN,SIX SWISS EXCHANGE,VZN
BKW,SIX SWISS EXCHANGE,BKW
FNTN,XETRA,FNTN.DE
SK3,IRISH STOCK EXCHANGE - ALL MARKET,SK3
VRLA,EURONEXT - EURONEXT PARIS,VRLA
ADYEN,EURONEXT - EURONEXT AMSTERDAM,ADYEN
CEY,LONDON STOCK EXCHANGE,CEY
ALLFG,EURONEXT - EURONEXT AMSTERDAM,ALLFG
YKBNK.E,BORSA ISTANBUL - EQUITY MARKET,YKBNK.E
MOL,ELECTRONIC SHARE MARKET,MOL
STF,EURONEXT - EURONEXT PARIS,STF
STMN,SIX SWISS EXCHANGE,STMN
ELPE,ATHENS EXCHANGE S.A. CASH MARKET,ELPE
BGEO,LONDON STOCK EXCHANGE,BGEO
UNI,BOLSA DE MADRID,UNI
BC,ELECTRONIC SHARE MARKET,BC
A2A,ELECTRONIC SHARE MARKET,A2A
SCMN,SIX SWISS EXCHANGE,SCMN
KBC,EURONEXT - EURONEXT BRUSSELS,KBC
CVSG,LONDON STOCK EXCHANGE,CVSG
ERA,EURONEXT - EURONEXT PARIS,ERA
AKBNK.E,BORSA ISTANBUL - EQUITY MARKET,AKBNK.E
AFRY,NASDAQ STOCKHOLM AB,AFRY
PTEC,LONDON STOCK EXCHANGE,PTEC
ARCLK.E,BORSA ISTANBUL - EQUITY MARKET,ARCLK.E
SOW,XETRA,SOW.DE
AJB,LONDON STOCK EXCHANGE,AJB
AKCNS.E,BORSA ISTANBUL - EQUITY MARKET,AKCNS.E
ACE,ELECTRONIC SHARE MARKET,ACE
ACA,EURONEXT - EURONEXT PARIS,ACA
ELG,XETRA,ELG.DE
BALD B,NASDAQ STOCKHOLM AB,BALD B
SII,EURONEXT - EURONEXT PARIS,SII
ALC,SIX SWISS EXCHANGE,ALC
MOVE,SIX SWISS EXCHANGE,MOVE
CARM,EURONEXT - EURONEXT PARIS,CARM
YSN,XETRA,YSN.DE
PKN,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,PKN
AKSEN.E,BORSA ISTANBUL - EQUITY MARKET,AKSEN.E
ISCTR.E,BORSA ISTANBUL - EQUITY MARKET,ISCTR.E
KEMIRA,NASDAQ HELSINKI LTD,KEMIRA
KCHOL.E,BORSA ISTANBUL - EQUITY MARKET,KCHOL.E
PRX,EURONEXT - EURONEXT AMSTERDAM,PRX
FLNG,OSLO BORS ASA,FLNG
TRNFP,MOSCOW EXCHANGE - ALL MARKETS,TRNFP
FPE3,XETRA,FPE3.DE
MYCR,NASDAQ STOCKHOLM AB,MYCR
SIX2,XETRA,SIX2.DE
AFX,XETRA,AFX.DE
BC8,XETRA,BC8.DE
FROTO.E,BORSA ISTANBUL - EQUITY MARKET,FROTO.E
KWS,XETRA,KWS.DE
NRO,EURONEXT - EURONEXT PARIS,NRO
SANOMA,NASDAQ HELSINKI LTD,SANOMA
BWLPG,OSLO BORS ASA,BWLPG
TUPRS.E,BORSA ISTANBUL - EQUITY MARKET,TUPRS.E
VALMT,NASDAQ HELSINKI LTD,VALMT
VAIAS,NASDAQ HELSINKI LTD,VAIAS
VID,BOLSA DE MADRID,VID
PNDORA,NASDAQ COPENHAGEN A/S,PNDORA
TEP,LONDON STOCK EXCHANGE,TEP
WALL B,NASDAQ STOCKHOLM AB,WALL B
AERO,SIX SWISS EXCHANGE,AERO
ARION,NASDAQ ICELAND HF.,ARION
ANDR,WIENER BOERSE AG AMTLICHER HANDEL (OFFICIAL MARKET),ANDR
DEQ,XETRA,DEQ.DE
TKA,WIENER BOERSE AG AMTLICHER HANDEL (OFFICIAL MARKET),TKA
ANTIN,EURONEXT - EURONEXT PARIS,ANTIN
NZYM B,NASDAQ COPENHAGEN A/S,NZYM B
HWDN,LONDON STOCK EXCHANGE,HWDN
FEVR,LONDON STOCK EXCHANGE,FEVR
APPS,BOLSA DE MADRID,APPS
AMUN,EURONEXT - EURONEXT PARIS,AMUN
SAP,XETRA,SAP.DE
SCATC,OSLO BORS ASA,SCATC
NDX1,XETRA,NDX1.DE
AZN,LONDON STOCK EXCHANGE,AZN
CLNX,BOLSA DE MADRID,CLNX
ITX,BOLSA DE MADRID,ITX
AMP,ELECTRONIC SHARE MARKET,AMP
ZAL,XETRA,ZAL.DE
AMS,SIX SWISS EXCHANGE,AMS
VITR,NASDAQ STOCKHOLM AB,VITR
CRE,LONDON STOCK EXCHANGE,CRE
MOH,ATHENS EXCHANGE S.A. CASH MARKET,MOH
HEM,NASDAQ STOCKHOLM AB,HEM
TPEIR,ATHENS EXCHANGE S.A. CASH MARKET,TPEIR
GAMA,LONDON STOCK EXCHANGE,GAMA
KPN,EURONEXT - EURONEXT AMSTERDAM,KPN
AGS,EURONEXT - EURONEXT BRUSSELS,AGS
CDR,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,CDR
SYAB,XETRA,SYAB.DE
WKP,LONDON STOCK EXCHANGE,WKP
PPC,ATHENS EXCHANGE S.A. CASH MARKET,PPC
AWE,LONDON STOCK EXCHANGE,AWE
UMG,EURONEXT - EURONEXT AMSTERDAM,UMG
AENA,BOLSA DE MADRID,AENA
KBX,XETRA,KBX.DE
ING,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,ING
INW,ELECTRONIC SHARE MARKET,INW
TROAX,NASDAQ STOCKHOLM AB,TROAX
SWON,SIX SWISS EXCHANGE,SWON
BRBY,LONDON STOCK EXCHANGE,BRBY
SHA,XETRA,SHA.DE
EPR,OSLO BORS ASA,EPR
IMCD,EURONEXT - EURONEXT AMSTERDAM,IMCD
HLN,LONDON STOCK EXCHANGE,HLN
DB1,XETRA,DB1.DE
G24,XETRA,G24.DE
MAB,LONDON STOCK EXCHANGE,MAB
IHG,LONDON STOCK EXCHANGE,IHG
ACLN,SIX SWISS EXCHANGE,ACLN
MRO,LONDON STOCK EXCHANGE,MRO
GRNG,NASDAQ STOCKHOLM AB,GRNG
SCT,LONDON STOCK EXCHANGE,SCT
ASCL,LONDON STOCK EXCHANGE,ASCL
GALP,OPERADOR DE MERCADO IBERICO DE ENERGIA - PORTUGAL,GALP
COP,XETRA,COP.DE
PLX,EURONEXT - EURONEXT PARIS,PLX
QTCOM,NASDAQ HELSINKI LTD,QTCOM
BRE,ELECTRONIC SHARE MARKET,BRE
HSX,LONDON STOCK EXCHANGE,HSX
OTKAR.E,BORSA ISTANBUL - EQUITY MARKET,OTKAR.E
YAR,OSLO BORS ASA,YAR
ELI,EURONEXT - EURONEXT BRUSSELS,ELI
BGN,ELECTRONIC SHARE MARKET,BGN
ROCK B,NASDAQ COPENHAGEN A/S,ROCK B
KTY,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,KTY
RMV,LONDON STOCK EXCHANGE,RMV
BVI,EURONEXT - EURONEXT PARIS,BVI
PGSUS.E,BORSA ISTANBUL - EQUITY MARKET,PGSUS.E
SOBI,NASDAQ STOCKHOLM AB,SOBI
LXS,XETRA,LXS.DE
UQA,WIENER BOERSE AG AMTLICHER HANDEL (OFFICIAL MARKET),UQA
LNZ,WIENER BOERSE AG AMTLICHER HANDEL (OFFICIAL MARKET),LNZ
WIE,WIENER BOERSE AG AMTLICHER HANDEL (OFFICIAL MARKET),WIE
LIGHT,EURONEXT - EURONEXT AMSTERDAM,LIGHT
UMI,EURONEXT - EURONEXT BRUSSELS,UMI
ACKB,EURONEXT - EURONEXT BRUSSELS,ACKB
GBLB,EURONEXT - EURONEXT BRUSSELS,GBLB
TESB,EURONEXT - EURONEXT BRUSSELS,TESB
TTALO,NASDAQ HELSINKI LTD,TTALO
PHP,LONDON STOCK EXCHANGE,PHP
BEI,XETRA,BEI.DE
MBG,XETRA,MBG.DE
COPN,SIX SWISS EXCHANGE,COPN
FRE,XETRA,FRE.DE
RHM,XETRA,RHM.DE
TEG,XETRA,TEG.DE
BKT,BOLSA DE MADRID,BKT
NTGY,BOLSA DE MADRID,NTGY
CAF,BOLSA DE MADRID,CAF
ENO,BOLSA DE MADRID,ENO
PSG,BOLSA DE MADRID,PSG
AC,EURONEXT - EURONEXT PARIS,AC
SAF,EURONEXT - EURONEXT PARIS,SAF
BB,EURONEXT - EURONEXT PARIS,BB
BN,EURONEXT - EURONEXT PARIS,BN
CAP,EURONEXT - EURONEXT PARIS,CAP
VIV,EURONEXT - EURONEXT PARIS,VIV
GLE,EURONEXT - EURONEXT PARIS,GLE
RUI,EURONEXT - EURONEXT PARIS,RUI
LR,EURONEXT - EURONEXT PARIS,LR
UN0,XETRA,UN0.DE
TEP,EURONEXT - EURONEXT PARIS,TEP
SU,EURONEXT - EURONEXT PARIS,SU
TTE,EURONEXT - EURONEXT PARIS,TTE
ABF,LONDON STOCK EXCHANGE,ABF
GL9,IRISH STOCK EXCHANGE - ALL MARKET,GL9
BDEV,LONDON STOCK EXCHANGE,BDEV
BKG,LONDON STOCK EXCHANGE,BKG
BP.,LONDON STOCK EXCHANGE,BP.
GRI,LONDON STOCK EXCHANGE,GRI
GPE,LONDON STOCK EXCHANGE,GPE
MTO,LONDON STOCK EXCHANGE,MTO
MEL,BOLSA DE MADRID,MEL
IMI,LONDON STOCK EXCHANGE,IMI
PAGE,LONDON STOCK EXCHANGE,PAGE
CEC,XETRA,CEC.DE
VOD,LONDON STOCK EXCHANGE,VOD
RSW,LONDON STOCK EXCHANGE,RSW
CEZ,PRAGUE STOCK EXCHANGE,CEZ
SGE,LONDON STOCK EXCHANGE,SGE
SBRY,LONDON STOCK EXCHANGE,SBRY
MERY,EURONEXT - EURONEXT PARIS,MERY
SGRO,LONDON STOCK EXCHANGE,SGRO
SMDS,LONDON STOCK EXCHANGE,SMDS
CTEC,LONDON STOCK EXCHANGE,CTEC
IAG,LONDON STOCK EXCHANGE,IAG
WEIR,LONDON STOCK EXCHANGE,WEIR
BCVN,SIX SWISS EXCHANGE,BCVN
FORN,SIX SWISS EXCHANGE,FORN
ISN,SIX SWISS EXCHANGE,ISN
VATN,SIX SWISS EXCHANGE,VATN
LLBN,SIX SWISS EXCHANGE,LLBN
SLHN,SIX SWISS EXCHANGE,SLHN
UHR,SIX SWISS EXCHANGE,UHR
NLBR,LJUBLJANA STOCK EXCHANGE (OFFICIAL MARKET),NLBR
GXI,XETRA,GXI.DE
BORR,OSLO BORS ASA,BORR
LXI,LONDON STOCK EXCHANGE,LXI
SCF,ELECTRONIC SHARE MARKET,SCF
PROX,EURONEXT - EURONEXT BRUSSELS,PROX
GLEN,LONDON STOCK EXCHANGE,GLEN
DOM,NASDAQ STOCKHOLM AB,DOM
PGE,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,PGE
CNA,LONDON STOCK EXCHANGE,CNA
S92,XETRA,S92.DE
ALMB,NASDAQ COPENHAGEN A/S,ALMB
DANSKE,NASDAQ COPENHAGEN A/S,DANSKE
INRN,SIX SWISS EXCHANGE,INRN
RBREW,NASDAQ COPENHAGEN A/S,RBREW
SBMO,EURONEXT - EURONEXT AMSTERDAM,SBMO
NIBE B,NASDAQ STOCKHOLM AB,NIBE B
KINV B,NASDAQ STOCKHOLM AB,KINV B
INGA,EURONEXT - EURONEXT AMSTERDAM,INGA
AXFO,NASDAQ STOCKHOLM AB,AXFO
DOM,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,DOM
ELK,OSLO BORS ASA,ELK
ODF,OSLO BORS ASA,ODF
SAHOL.E,BORSA ISTANBUL - EQUITY MARKET,SAHOL.E
BZU,ELECTRONIC SHARE MARKET,BZU
UNI,ELECTRONIC SHARE MARKET,UNI
ENOG,LONDON STOCK EXCHANGE,ENOG
SCA B,NASDAQ STOCKHOLM AB,SCA B
HOLM B,NASDAQ STOCKHOLM AB,HOLM B
CAMX,NASDAQ STOCKHOLM AB,CAMX
HM B,NASDAQ STOCKHOLM AB,HM B
JM,NASDAQ STOCKHOLM AB,JM
BIOA B,NASDAQ STOCKHOLM AB,BIOA B
A5G,IRISH STOCK EXCHANGE - ALL MARKET,A5G
VTY,LONDON STOCK EXCHANGE,VTY
DMP,XETRA,DMP.DE
NDA FI,NASDAQ HELSINKI LTD,NDA FI
CCH,LONDON STOCK EXCHANGE,CCH
TRI,EURONEXT - EURONEXT PARIS,TRI
ALFEN,EURONEXT - EURONEXT AMSTERDAM,ALFEN
UTDI,XETRA,UTDI.DE
ZV,ELECTRONIC SHARE MARKET,ZV
GEST,BOLSA DE MADRID,GEST
FDR,BOLSA DE MADRID,FDR
TKWY,EURONEXT - EURONEXT AMSTERDAM,TKWY
KOG,OSLO BORS ASA,KOG
BARN,SIX SWISS EXCHANGE,BARN
EKTA B,NASDAQ STOCKHOLM AB,EKTA B
HBR,LONDON STOCK EXCHANGE,HBR
AKRBP,OSLO BORS ASA,AKRBP
SNI,OSLO BORS ASA,SNI
OPL,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,OPL
AML,LONDON STOCK EXCHANGE,AML
PNE3,XETRA,PNE3.DE
FORTUM,NASDAQ HELSINKI LTD,FORTUM
LMP,LONDON STOCK EXCHANGE,LMP
BRG,OSLO BORS ASA,BRG
ANTO,LONDON STOCK EXCHANGE,ANTO
SAN,EURONEXT - EURONEXT PARIS,SAN
BILI A,NASDAQ STOCKHOLM AB,BILI A
JET2,LONDON STOCK EXCHANGE,JET2
WDP,EURONEXT - EURONEXT BRUSSELS,WDP
ENKAI.E,BORSA ISTANBUL - EQUITY MARKET,ENKAI.E
AEFES.E,BORSA ISTANBUL - EQUITY MARKET,AEFES.E
HAFNI,OSLO BORS ASA,HAFNI
EMG,LONDON STOCK EXCHANGE,EMG
PEUG,EURONEXT - EURONEXT PARIS,PEUG
ENGI,EURONEXT - EURONEXT PARIS,ENGI
COK,XETRA,COK.DE
EVT,XETRA,EVT.DE
8TRA,XETRA,8TRA.DE
EDPR,OPERADOR DE MERCADO IBERICO DE ENERGIA - PORTUGAL,EDPR
NOS,OPERADOR DE MERCADO IBERICO DE ENERGIA - PORTUGAL,NOS
NFG,LONDON STOCK EXCHANGE,NFG
WAVE,EURONEXT - EURONEXT PARIS,WAVE
ABDN,LONDON STOCK EXCHANGE,ABDN
AGHOL.E,BORSA ISTANBUL - EQUITY MARKET,AGHOL.E
ALLN,SIX SWISS EXCHANGE,ALLN
ACS,BOLSA DE MADRID,ACS
COFA,EURONEXT - EURONEXT PARIS,COFA
GLJ,XETRA,GLJ.DE
IDS,LONDON STOCK EXCHANGE,IDS
EKT,XETRA,EKT.DE
TMV,XETRA,TMV.DE
SOP,EURONEXT - EURONEXT PARIS,SOP
GIVN,SIX SWISS EXCHANGE,GIVN
BNP,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,BNP
SISE.E,BORSA ISTANBUL - EQUITY MARKET,SISE.E
VOE,WIENER BOERSE AG AMTLICHER HANDEL (OFFICIAL MARKET),VOE
EDP,OPERADOR DE MERCADO IBERICO DE ENERGIA - PORTUGAL,EDP
ICOS,ELECTRONIC SHARE MARKET,ICOS
IIA,WIENER BOERSE AG AMTLICHER HANDEL (OFFICIAL MARKET),IIA
THULE,NASDAQ STOCKHOLM AB,THULE
CRL,ELECTRONIC SHARE MARKET,CRL
ICP,LONDON STOCK EXCHANGE,ICP
ISB,NASDAQ ICELAND HF.,ISB
OSB,LONDON STOCK EXCHANGE,OSB
HYQ,XETRA,HYQ.DE
ENEL,ELECTRONIC SHARE MARKET,ENEL
KTN,XETRA,KTN.DE
IRE,ELECTRONIC SHARE MARKET,IRE
BRD,SPOT REGULATED MARKET - BVB,BRD
CTPNV,EURONEXT - EURONEXT AMSTERDAM,CTPNV
VTSC,XETRA,VTSC.DE
BME,LONDON STOCK EXCHANGE,BME
FBK,ELECTRONIC SHARE MARKET,FBK
AKSO,OSLO BORS ASA,AKSO
OPAP,ATHENS EXCHANGE S.A. CASH MARKET,OPAP
ADP,EURONEXT - EURONEXT PARIS,ADP
ALPHA,ATHENS EXCHANGE S.A. CASH MARKET,ALPHA
ETE,ATHENS EXCHANGE S.A. CASH MARKET,ETE
BILL,NASDAQ STOCKHOLM AB,BILL
MING,OSLO BORS ASA,MING
ROO,LONDON STOCK EXCHANGE,ROO
ORP,EURONEXT - EURONEXT PARIS,ORP
PHLL,LONDON STOCK EXCHANGE,PHLL
ALFA,NASDAQ STOCKHOLM AB,ALFA
EVO,NASDAQ STOCKHOLM AB,EVO
WG.,LONDON STOCK EXCHANGE,WG.
IVG,ELECTRONIC SHARE MARKET,IVG
SHC,LONDON STOCK EXCHANGE,SHC
FDJ,EURONEXT - EURONEXT PARIS,FDJ
NCH2,XETRA,NCH2.DE
VEON,EURONEXT - EURONEXT AMSTERDAM,VEON
ATRLJ B,NASDAQ STOCKHOLM AB,ATRLJ B
III,LONDON STOCK EXCHANGE,III
KNOS,LONDON STOCK EXCHANGE,KNOS
PDX,FIRST NORTH SWEDEN - SME GROWTH MARKET,PDX
SVEG,OSLO BORS ASA,SVEG
LIAB,NASDAQ STOCKHOLM AB,LIAB
DSFIR,EURONEXT - EURONEXT AMSTERDAM,DSFIR
SYENS,EURONEXT - EURONEXT BRUSSELS,SYENS
TYRES,NASDAQ HELSINKI LTD,TYRES
SAX,XETRA,SAX.DE
ALIF B,NASDAQ STOCKHOLM AB,ALIF B
TOKMAN,NASDAQ HELSINKI LTD,TOKMAN
BEZ,LONDON STOCK EXCHANGE,BEZ
CLN,SIX SWISS EXCHANGE,CLN
ULKER.E,BORSA ISTANBUL - EQUITY MARKET,ULKER.E
EGL,OPERADOR DE MERCADO IBERICO DE ENERGIA - PORTUGAL,EGL
CCC,LONDON STOCK EXCHANGE,CCC
BESI,EURONEXT - EURONEXT AMSTERDAM,BESI
PFD,LONDON STOCK EXCHANGE,PFD
LOUP,EURONEXT - EURONEXT PARIS,LOUP
VCT,LONDON STOCK EXCHANGE,VCT
SHEL,LONDON STOCK EXCHANGE,SHEL
EURN,EURONEXT - EURONEXT BRUSSELS,EURN
FEES,MOSCOW EXCHANGE - ALL MARKETS,FEES
SENS,SIX SWISS EXCHANGE,SENS
SFSN,SIX SWISS EXCHANGE,SFSN
HL.,LONDON STOCK EXCHANGE,HL.
TTKOM.E,BORSA ISTANBUL - EQUITY MARKET,TTKOM.E
SNG,SPOT REGULATED MARKET - BVB,SNG
QQ.,LONDON STOCK EXCHANGE,QQ.
ENA,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,ENA
VLK,EURONEXT - EURONEXT AMSTERDAM,VLK
METSO,NASDAQ HELSINKI LTD,METSO
WIHL,NASDAQ STOCKHOLM AB,WIHL
ONT,LONDON STOCK EXCHANGE,ONT
CAI,WIENER BOERSE AG AMTLICHER HANDEL (OFFICIAL MARKET),CAI
BAR,EURONEXT - EURONEXT BRUSSELS,BAR
BAYN,XETRA,BAYN.DE
IREN,SIX SWISS EXCHANGE,IREN
HEI,XETRA,HEI.DE
SZG,XETRA,SZG.DE
DTE,XETRA,DTE.DE
SZU,XETRA,SZU.DE
SAN,BOLSA DE MADRID,SAN
NHH,BOLSA DE MADRID,NHH
TEF,BOLSA DE MADRID,TEF
VIS,BOLSA DE MADRID,VIS
CA,EURONEXT - EURONEXT PARIS,CA
CS,EURONEXT - EURONEXT PARIS,CS
DEME,EURONEXT - EURONEXT BRUSSELS,DEME
HO,EURONEXT - EURONEXT PARIS,HO
RXL,EURONEXT - EURONEXT PARIS,RXL
UPM,NASDAQ HELSINKI LTD,UPM
BHW,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,BHW
ICAD,EURONEXT - EURONEXT PARIS,ICAD
FRVIA,EURONEXT - EURONEXT PARIS,FRVIA
MPARK.E,BORSA ISTANBUL - EQUITY MARKET,MPARK.E
DG,EURONEXT - EURONEXT PARIS,DG
MAU,EURONEXT - EURONEXT PARIS,MAU
RI,EURONEXT - EURONEXT PARIS,RI
RNO,EURONEXT - EURONEXT PARIS,RNO
SK,EURONEXT - EURONEXT PARIS,SK
SW,EURONEXT - EURONEXT PARIS,SW
ALTA,EURONEXT - EURONEXT PARIS,ALTA
TFI,EURONEXT - EURONEXT PARIS,TFI
BA.,LONDON STOCK EXCHANGE,BA.
BLND,LONDON STOCK EXCHANGE,BLND
CWK,LONDON STOCK EXCHANGE,CWK
DLN,LONDON STOCK EXCHANGE,DLN
GSK,LONDON STOCK EXCHANGE,GSK
JHD,LONDON STOCK EXCHANGE,JHD
HMSO,LONDON STOCK EXCHANGE,HMSO
JMAT,LONDON STOCK EXCHANGE,JMAT
EFGN,SIX SWISS EXCHANGE,EFGN
KRX,IRISH STOCK EXCHANGE - ALL MARKET,KRX
LAND,LONDON STOCK EXCHANGE,LAND
LISN,SIX SWISS EXCHANGE,LISN
UU.,LONDON STOCK EXCHANGE,UU.
PSON,LONDON STOCK EXCHANGE,PSON
PSN,LONDON STOCK EXCHANGE,PSN
PIRC,ELECTRONIC SHARE MARKET,PIRC
REL,LONDON STOCK EXCHANGE,REL
RTO,LONDON STOCK EXCHANGE,RTO
RIO,LONDON STOCK EXCHANGE,RIO
NOVN,SIX SWISS EXCHANGE,NOVN
SRP,LONDON STOCK EXCHANGE,SRP
SN.,LONDON STOCK EXCHANGE,SN.
TRYG,NASDAQ COPENHAGEN A/S,TRYG
POST,WIENER BOERSE AG AMTLICHER HANDEL (OFFICIAL MARKET),POST
SPX,LONDON STOCK EXCHANGE,SPX
ULVR,LONDON STOCK EXCHANGE,ULVR
BALN,SIX SWISS EXCHANGE,BALN
ZURN,SIX SWISS EXCHANGE,ZURN
NESN,SIX SWISS EXCHANGE,NESN
ROG,SIX SWISS EXCHANGE,ROG
CFR,SIX SWISS EXCHANGE,CFR
CFT,SIX SWISS EXCHANGE,CFT
SGSN,SIX SWISS EXCHANGE,SGSN
FME,XETRA,FME.DE
LEHN,SIX SWISS EXCHANGE,LEHN
LOGN,SIX SWISS EXCHANGE,LOGN
SCHP,SIX SWISS EXCHANGE,SCHP
SFZN,SIX SWISS EXCHANGE,SFZN
SIKA,SIX SWISS EXCHANGE,SIKA
ENT,LONDON STOCK EXCHANGE,ENT
SKAN,SIX SWISS EXCHANGE,SKAN
IG,ELECTRONIC SHARE MARKET,IG
DOM,LONDON STOCK EXCHANGE,DOM
APAM,EURONEXT - EURONEXT AMSTERDAM,APAM
SREN,SIX SWISS EXCHANGE,SREN
ALD,EURONEXT - EURONEXT PARIS,ALD
PGHN,SIX SWISS EXCHANGE,PGHN
CATE,NASDAQ STOCKHOLM AB,CATE
WCH,XETRA,WCH.DE
VLTSA,EURONEXT - EURONEXT PARIS,VLTSA
SPOL,OSLO BORS ASA,SPOL
MCOV B,NASDAQ STOCKHOLM AB,MCOV B
MVC,BOLSA DE MADRID,MVC
TELIA,NASDAQ STOCKHOLM AB,TELIA
DIA,ELECTRONIC SHARE MARKET,DIA
CAST,NASDAQ STOCKHOLM AB,CAST
COLO B,NASDAQ COPENHAGEN A/S,COLO B
GRP,IRISH STOCK EXCHANGE - ALL MARKET,GRP
SMS,LONDON STOCK EXCHANGE,SMS
GN,NASDAQ COPENHAGEN A/S,GN
FLS,NASDAQ COPENHAGEN A/S,FLS
VPK,EURONEXT - EURONEXT AMSTERDAM,VPK
WKL,EURONEXT - EURONEXT AMSTERDAM,WKL
BETS B,NASDAQ STOCKHOLM AB,BETS B
MOWI,OSLO BORS ASA,MOWI
AKER,OSLO BORS ASA,AKER
ATEA,OSLO BORS ASA,ATEA
ORK,OSLO BORS ASA,ORK
ISP,ELECTRONIC SHARE MARKET,ISP
UCG,ELECTRONIC SHARE MARKET,UCG
US,ELECTRONIC SHARE MARKET,US
LATO B,NASDAQ STOCKHOLM AB,LATO B
SHB A,NASDAQ STOCKHOLM AB,SHB A
SAMPO,NASDAQ HELSINKI LTD,SAMPO
CHEMM,NASDAQ COPENHAGEN A/S,CHEMM
RHIM,LONDON STOCK EXCHANGE,RHIM
AIXA,XETRA,AIXA.DE
MTELEKOM,BUDAPEST STOCK EXCHANGE,MTELEKOM
TAVHL.E,BORSA ISTANBUL - EQUITY MARKET,TAVHL.E
JTC,LONDON STOCK EXCHANGE,JTC
CCOLA.E,BORSA ISTANBUL - EQUITY MARKET,CCOLA.E
SAFE,LONDON STOCK EXCHANGE,SAFE
1U1,XETRA,1U1.DE
DWS,XETRA,DWS.DE
ARG,EURONEXT - EURONEXT PARIS,ARG
ENJSA.E,BORSA ISTANBUL - EQUITY MARKET,ENJSA.E
NYF,NASDAQ STOCKHOLM AB,NYF
