MSFT
AAPL
NVDA
AMZN
GOOG
GOOGL
META
BRK.A
BRK.B
LLY
TSLA
AVGO
TSM
V
JPM
UNH
WMT
MA
NVO
XOM
JNJ
TM
ASML
PG
HD
MRK
COST
ABBV
ORCL
AMD
CVX
CRM
BAC
KO
NFLX
ACN
ADBE
NVS
PEP
SAP
LIN
TMO
MCD
ABT
SHEL
DIS
AZN
CSCO
TMUS
BABA
WFC
DHR
INTU
INTC
PDD
QCOM
VZ
IBM
CMCSA
AMAT
GE
UBER
CAT
NKE
NOW
BX
PFE
UNP
AXP
AMGN
TTE
TXN
BHP
HSBC
PM
MS
RY
ISRG
SPGI
BKNG
SYK
LOW
ARM
COP
HON
HDB
UPS
GS
UL
LRCX
PLD
BA
MUFG
SNY
BLK
ELV
RTX
T
SCHW
NEE PR R
NEE
ETN
PBR.A
PBR
MDT
TJX
PGR
RIO
SONY
VRTX
BUD
SBUX
TD
C
REGN
ADP
BMY
LMT
CB
BP
ABNB
MMC
CI
DE
MDLZ
BSX
CVS
UBS
SHOP
ADI
MU
KLAC
MELI
GILD
FI
ZTS
IBN
SNPS
AMT
GSK
PANW
KKR
DEO
CNI
ANET
INFY
EQIX
WM
CDNS
STLA
HCA
SHW
WDAY
CP
RACE
ICE
CME
ITW
EQNR
CRWD
GD
SNOW
CSX
ENB
SO
MAR
MO
CMG
CNQ
TRI
DUK
CL
BDX
SLB
NTES
MCO
TGT
BMO
NOC
PH
EOG
BTI
BN
MCK
TDG
SAN
HMC
PSX
USB
SCCO
TT
APH
CTAS
APO
ITUB
ECL
PYPL
AON
ORLY
DELL
NXPI
MPC
VALE
FDX
MRVL
EMR
EPD
ROP
AMX
BBVA
PCAR
PNC
NSC
RSG
BNS
MNST
FCX
LULU
MSI
ADSK
PXD
SMCI
CRH
WELL
EL
TEAM
OXY
AJG
EW
PLTR
E
APD
FTNT
COF
HLT
MMM
TRV
PSA
ET
MET
ROST
SPG
NU
DASH
SPOT
NGG
CARR
AIG
F
DHI
AZO
ODFL
VLO
GWW
TFC
IDXX
CPRT
CCI
COR
TAK
MFG
AFL
HES
NUE
IBKR
O
GM
MCHP
DXCM
STZ
IQV
SRE
PAYX
MSCI
HUM
TEL
URI
KHC
WCN
CM
SU
CHTR
FMX
AEP
DDOG
OKE
CNC
LEN
LEN.B
CEG
KDP
WMB
ALL
FERG
BK
DLR
SQ
STM
COIN
TRP
FAST
ABEV
ARES
AME
TTD
KMB
LHX
LVS
AMP
ALC
SYY
GEHC
MPLX
JCI
CTSH
HSY
DOW
PRU
A
BIDU
YUM
CTVA
EA
KMI
HLN
D
JD
FIS
MRNA
LI
LNG
OTIS
CMI
LYG
GIS
FLUT
IR
KVUE
EXC
VEEV
MPWR
NEM
PCG
IT
KR
VRSK
BCE
GPN
VMC
MLM
PWR
WIT
PPG
CSGP
NET
ZS
ON
CDW
IMO
CVE
XEL
EFX
NDAQ
MDB
BIIB
ACGL
TCOM
FICO
ROK
LYB
FANG
DLTR
CCEP
BCS
RCL
HAL
DG
ORAN
VICI
HUBS
ED
XYL
PEG
FTV
DFS
GFS
EXR
ANSS
BKR
DD
CPNG
LSXMA
LSXMK
FWONA
FWONK
LLYVA
LLYVK
HPQ
ADM
PUK
WTW
BBDO
BBD
HIG
DVN
CBRE
GLW
PKX
BF.B
SE
DAL
DB
RMD
ZBH
RBLX
NTR
HWM
TU
ULTA
WST
SPLK
KEYS
CAH
TLK
TTWO
TSCO
EIX
ICLR
GRMN
MTD
OWL
GOLD
NWG
AVB
RYAAY
TROW
CQP
RJF
WEC
WY
EC
PINS
HEI.A
HEI
WAB
RCI
CHD
ALGN
NVR
VRT
BRO
AEM
ARGX
MOH
GIB
QSR
BR
FCNCA
STE
WBD
AWK
TEF
BLDR
EBAY
EQR
MTB
SYM
DOV
SBAC
FITB
DECK
VOD
MT
TW
BNTX
PHM
DTE
WRB
TRGP
BSBR
STT
JBHT
RKT
APTV
ILMN
LYV
ETR
PTC
FE
BAX
KOF
ARE
VLTO
IRM
CBOE
TS
ALNY
GPC
EBR.B
EBR
FNV
LUV
AXON
TDY
ENTG
ES
IFF
INVH
ROL
STLD
DRI
TECK
FLT
NOK
CTRA
PPL
ASX
VRSN
HPE
HUBB
MBLY
LPLA
WAT
FTS
BALL
COO
K
APP
MKL
DKNG
GMAB
BAH
UMC
CCL
CUK
EXPE
PFG
CLX
PBA
TSN
ZM
VIV
HBAN
AEE
WBA
RPRX
PHG
STX
ERIE
TYL
J
CHKP
RS
LH
MKC
ERIC
SIRI
WDC
WLK
IHG
WPM
WMG
JBL
CCJ
HOLX
IEX
VTR
NTAP
SNAP
IOT
TME
CNP
CINF
EPAM
BEKE
OMC
FDS
AVY
EXPD
WSO
ATO
BAM
VST
YUMC
BMRN
LDOS
CSL
RF
BGNE
CMS
SWKS
JHX
ENPH
AVTR
HRL
AER
TXT
EQT
NTRS
MAS
SUI
CE
CNHI
LII
CG
BBY
SYF
AKAM
EG
VTRS
SSNC
GDDY
NICE
CRBG
TER
MGA
NDSN
BSY
PKG
ZTO
FSLR
LOGI
NWSA
NWS
TPG
MANH
TRMB
CF
GGG
LW
DPZ
TKO
EDU
CELH
UAL
SAIA
MAA
TEVA
ESS
TRU
DT
POOL
SUZ
HST
RPM
WSM
ZBRA
SNA
BEN
CFG
BIP PR B
BIP PR A
BIP
LECO
XPO
NTNX
MRO
H
DGX
LKQ
ALB
MGM
GEN
DKS
PODD
BG
INCY
OKTA
RTO
FOX
FOXA
FNF
SWK
XP
CAG
BAP
KEY
AMCR
KIM
NBIX
PATH
SJM
GFL
BURL
PSTG
RDY
RVTY
BLD
WES
ESTC
WMS
CRL
JKHY
SRPT
SNN
OC
AMH
CPB
OVV
TAP
RBA
TFII
USFD
LNT
PNR
ELS
HTHT
WPC
GRAB
AGR
ZG
Z
IPG
ACI
EME
NIO
RYAN
ACM
GLPI
CX
SQM
MEDP
KRTX
MSTR
FND
HOOD
CNA
TPL
GL
RL
JNPR
IP
UDR
AOS
VFS
RNR
MORN
FLEX
U
KNSL
NRG
ARCC
PFGC
NI
PR
COTY
BRKR
WYNN
PAA
EVRG
EQH
KMX
LAMR
TOL
AFRM
BCH
AZPN
FMS
HII
ALLE
EDR
TOST
RGA
WRK
GFI
TECH
REG
REXR
UHS
DAY
LEGN
TFX
SBS
RRX
RIVN
TPR
QRVO
ALLY
CASY
CHK
FFIV
GTLB
NVT
RGEN
DVA
EXAS
AES
DOX
AEG
FIVE
PCOR
UWMC
AFG
CTLT
OTEX
BBWI
MOS
SCI
CYBR
DINO
CVNA
PAYC
CFLT
X
LSCC
ITT
BXP
ONON
UTHR
TWLO
DOCU
EWBC
TREX
FBIN
EMN
PEN
ELF
CPT
PAG
MNDY
HSIC
SWAV
CLF
AAL
TXRH
WPP
CUBE
WTRG
CLH
MTCH
WING
BIO
TTC
PCTY
GWRE
QGEN
BIRK
INFA
GLOB
STN
CNM
TTEK
UNM
WEX
YPF
FTI
NLY
KNX
ATR
ESLT
CCK
BJ
THC
AIZ
ALV
PEAK
COHR
WSC
ROIV
SKX
ASND
CW
APA
HLI
VIPS
SNX
ROKU
BSAC
TIMB
STVN
ASR
MTN
CHE
CZR
CHDN
OLED
FIX
PRI
TPX
SEIC
JEF
LBRDA
LBRDK
JLL
ONTO
EGP
XPEV
CHRW
EXP
APG
TAL
NTRA
SKM
MUSA
ETSY
PSN
WWD
CART
RHI
GNTX
SSD
PSO
NXT
MKSI
APPF
BWXT
FRT
LNW
CACI
CIEN
GPK
ARMK
IEP
WBS
MKTX
JAZZ
MIDD
ORI
PVH
COLD
AGCO
APLS
KBR
CIB
DBX
PARA
PARAA
SOFI
PNW
ELAN
DCI
RBC
FCN
S
SF
HESM
LAD
FHN
TX
ACHC
AR
WFRD
WIX
SWN
LEA
OHI
RRC
DLB
AMKR
INGR
NNN
KVYO
GMED
UI
GGB
AYI
SITE
DUOL
FSV
EHC
CYTK
SN
WCC
GRFS
ALTR
DSGX
FN
SUM
AIT
MHK
FR
MTDR
RHP
BRBR
DV
SAIC
LBTYK
LBTYA
LEVI
XRAY
CROX
NYT
LCID
GPS
VOYA
MSA
AXTA
HQY
FUTU
STAG
OSK
BERY
IVZ
BWA
ENSG
CGNX
LSTR
MAT
DDS
UGP
HAS
EVR
NCLH
BRX
CR
CHWY
MASI
ITCI
CRSP
CFR
UFPI
NOV
CSAN
RGLD
YMM
PPC
CCCS
DAR
AZEK
SPSC
CACC
GNRC
PAC
BEP
CHRD
CBSH
AAON
HRB
OGE
RLI
BZ
ICL
CMA
VNT
ZI
WTS
THO
G
WH
BILL
NFE
VNOM
WAL
HLNE
FMC
PNFP
ALSN
POST
WFG
W
CIVI
LYFT
AGNC
IBP
IONS
MTSI
SSB
GXO
TNET
OLN
EXEL
CMC
AM
ARW
BYD
STWD
BFAM
RMBS
NE
MMYT
MNSO
VFC
REYN
SIGI
CAE
MUR
HXL
ANF
ADT
WHR
FLR
BLCO
LFUS
BC
KGC
FOUR
BPOP
NSIT
RRR
ALGM
FRSH
GIL
QLYS
TMHC
CLVT
ATI
OBDC
ELP
ELPC
PB
FAF
WTFC
CHX
ZION
BBIO
CIGI
NXST
OPCH
AN
ADC
SMAR
CIG
CIG.C
BRZE
ESI
MSM
MTZ
TKR
CAVA
NOVT
CHH
ESAB
FSK
SON
ENLC
PBF
ESNT
OMF
TRNO
MTH
TENB
DTM
DRS
PLNT
INSP
FLS
MARA
FTAI
SFM
BECN
SNV
CPRI
BOKF
TXG
PEGA
DOCS
BXSL
CNXC
MLI
GTLS
