AEVS,SIX SWISS EXCHANGE
DSV,NASDAQ COPENHAGEN A/S
HEXA B,NASDAQ STOCKHOLM AB
OCI,EURONEXT - EURONEXT AMSTERDAM
OVH,EURONEXT - EURONEXT PARIS
BANB,SIX SWISS EXCHANGE
NETW,LONDON STOCK EXCHANGE
BRAV,NASDAQ STOCKHOLM AB
MGROS.E,BORSA ISTANBUL - EQUITY MARKET
TRIG,LONDON STOCK EXCHANGE
ARYN,SIX SWISS EXCHANGE
NOLA B,NASDAQ STOCKHOLM AB
SSE,LONDON STOCK EXCHANGE
RAND,EURONEXT - EURONEXT AMSTERDAM
SPSN,SIX SWISS EXCHANGE
ECMPA,EURONEXT - EURONEXT AMSTERDAM
SSAB A,NASDAQ STOCKHOLM AB
JUST,LONDON STOCK EXCHANGE
BBOX,LONDON STOCK EXCHANGE
YACHT,ELECTRONIC SHARE MARKET
TOASO.E,BORSA ISTANBUL - EQUITY MARKET
GARAN.E,BORSA ISTANBUL - EQUITY MARKET
BIOT,NASDAQ STOCKHOLM AB
NXU,XETRA
FABG,NASDAQ STOCKHOLM AB
PST,ELECTRONIC SHARE MARKET
LTMC,ELECTRONIC SHARE MARKET
BPSO,ELECTRONIC SHARE MARKET
VESTL.E,BORSA ISTANBUL - EQUITY MARKET
RICHTER,BUDAPEST STOCK EXCHANGE
LOOMIS,NASDAQ STOCKHOLM AB
P911,XETRA
TXGN,SIX SWISS EXCHANGE
TOD,ELECTRONIC SHARE MARKET
EZJ,LONDON STOCK EXCHANGE
MOBN,SIX SWISS EXCHANGE
DHG,IRISH STOCK EXCHANGE - ALL MARKET
JDW,LONDON STOCK EXCHANGE
GPP,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET
ENX,EURONEXT - EURONEXT PARIS
NA9,XETRA
STLAM,ELECTRONIC SHARE MARKET
HAG,XETRA
SPI,LONDON STOCK EXCHANGE
BAKKA,OSLO BORS ASA
RMS,EURONEXT - EURONEXT PARIS
UBSG,SIX SWISS EXCHANGE
SAB,BOLSA DE MADRID
NEX,EURONEXT - EURONEXT PARIS
ALR,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET
TEMN,SIX SWISS EXCHANGE
DLG,ELECTRONIC SHARE MARKET
MAREL,NASDAQ ICELAND HF.
GEKTERNA,ATHENS EXCHANGE S.A. CASH MARKET
EUROB,ATHENS EXCHANGE S.A. CASH MARKET
ORA,EURONEXT - EURONEXT PARIS
